"id","user","arz","size","size2","atleast","price","status","created_at","updated_at"
"30045","2958","6","339","2.2","67.8","105","1","2022-03-02 09:03:43","2022-03-02 09:03:43"
"30046","2262","7","349","2.33333333334","116.33333333333","525","1","2021-12-27 09:12:43","2021-12-27 09:12:43"
"30047","2459","1","0.13","9.9920072216264e-16","0.043333333333333","4750000","1","2021-08-25 09:08:43","2021-08-25 09:08:43"
"30048","2410","1","0.73","0.000000000000010019762797242","0.24333333333333","4750000","1","2021-09-07 09:09:43","2021-09-07 09:09:43"
"30049","2330","3","660","23","220","380000","1","2021-12-16 09:12:43","2021-12-16 09:12:43"
"30050","2423","1","0.98","0","0.245","5250000","1","2021-11-20 09:11:43","2021-11-20 09:11:43"
"30051","3016","7","704","56.33333333333","234.66666666667","525","1","2021-11-08 09:11:43","2021-11-08 09:11:43"
"30052","2535","9","148","69","74","21000","1","2021-09-28 09:09:43","2021-09-28 09:09:43"
"30053","2758","2","0.85","0.17","0.17","21000","1","2022-01-30 09:01:43","2022-01-30 09:01:43"
"30054","2996","6","696","183","348","105","1","2021-11-09 09:11:43","2021-11-09 09:11:43"
"30055","2988","8","219","30","73","7350","1","2021-11-10 09:11:43","2021-11-10 09:11:43"
"30056","2722","5","177","87.5","88.5","950","1","2022-02-08 09:02:43","2022-02-08 09:02:43"
"30057","2721","1","0.4","0","0.08","5250000","1","2021-09-18 09:09:43","2021-09-18 09:09:43"
"30058","2518","7","355","74.66666666667","118.33333333333","525","1","2021-10-06 09:10:43","2021-10-06 09:10:43"
"30059","2197","1","0.53","0","0.1325","4750000","1","2021-10-02 09:10:43","2021-10-02 09:10:43"
"30060","3030","6","153","44.75","38.25","105","1","2021-10-29 09:10:43","2021-10-29 09:10:43"
"30061","2158","6","586","32","146.5","105","1","2022-01-01 09:01:43","2022-01-01 09:01:43"
"30062","2560","9","750","5","150","21000","1","2022-03-08 09:03:43","2022-03-08 09:03:43"
"30063","2507","3","935","87","187","420000","1","2021-09-13 09:09:43","2021-09-13 09:09:43"
"30064","2576","7","72","14","24","475","1","2021-08-25 09:08:43","2021-08-25 09:08:43"
"30065","2156","9","582","5","145.5","19000","1","2022-02-02 09:02:43","2022-02-02 09:02:43"
"30066","2403","4","147","25.2","29.4","126000","1","2021-12-15 09:12:43","2021-12-15 09:12:43"
"30067","3060","8","388","71.66666666667","129.33333333333","6650","1","2022-01-08 09:01:43","2022-01-08 09:01:43"
"30068","2758","2","0.56","0","0.28","21000","1","2022-02-01 09:02:43","2022-02-01 09:02:43"
"30069","2603","9","391","6.5","195.5","21000","1","2021-12-26 09:12:43","2021-12-26 09:12:43"
"30070","2691","5","864","275","288","950","1","2022-03-10 09:03:43","2022-03-10 09:03:43"
"30071","2936","7","897","273.5","448.5","525","1","2021-10-08 09:10:43","2021-10-08 09:10:43"
"30072","2747","4","658","12.33333333334","219.33333333333","126000","1","2022-02-17 09:02:43","2022-02-17 09:02:43"
"30073","2680","6","576","110","192","105","1","2021-12-02 09:12:43","2021-12-02 09:12:43"
"30074","2085","0","0.89","0","0.178","9500000","1","2021-11-14 09:11:43","2021-11-14 09:11:43"
"30075","2855","4","774","3","258","126000","1","2021-12-05 09:12:43","2021-12-05 09:12:43"
"30076","2993","6","995","431.5","497.5","105","1","2022-01-07 09:01:43","2022-01-07 09:01:43"
"30077","2088","7","407","8.8","81.4","475","1","2021-11-17 09:11:43","2021-11-17 09:11:43"
"30078","2739","8","869","243.33333333333","289.66666666667","6650","1","2021-12-19 09:12:43","2021-12-19 09:12:43"
"30079","2154","9","211","85.5","105.5","19000","1","2021-12-15 09:12:43","2021-12-15 09:12:43"
"30080","2453","3","948","47","237","380000","1","2021-10-27 09:10:43","2021-10-27 09:10:43"
"30081","2424","7","888","85","222","525","1","2021-10-12 09:10:43","2021-10-12 09:10:43"
"30082","2984","9","551","138.6","110.2","19000","1","2021-09-11 09:09:43","2021-09-11 09:09:43"
"30083","2975","0","0.75","0","0.375","9500000","1","2021-10-13 09:10:43","2021-10-13 09:10:43"
"30084","2220","6","420","60","140","105","1","2022-02-24 09:02:43","2022-02-24 09:02:43"
"30085","2652","9","307","4.5","153.5","21000","1","2021-12-22 09:12:43","2021-12-22 09:12:43"
"30086","2800","1","0.62","0.20666666666666","0.20666666666667","4750000","1","2022-03-04 09:03:43","2022-03-04 09:03:43"
"30087","2700","1","0.81","0","0.162","5250000","1","2021-11-02 09:11:43","2021-11-02 09:11:43"
"30088","2941","0","0.51","0","0.17","10500000","1","2022-01-17 09:01:43","2022-01-17 09:01:43"
"30089","2225","5","357","24.8","71.4","1050","1","2021-09-23 09:09:43","2021-09-23 09:09:43"
"30090","2255","8","450","201","225","7350","1","2021-10-16 09:10:43","2021-10-16 09:10:43"
"30091","2238","8","163","17.5","81.5","6650","1","2021-12-18 09:12:43","2021-12-18 09:12:43"
"30092","2088","0","1.02","0","0.34","10500000","1","2022-01-30 09:01:43","2022-01-30 09:01:43"
"30093","2810","8","355","45.5","88.75","7350","1","2021-09-27 09:09:43","2021-09-27 09:09:43"
"30094","2451","2","0.79","0","0.395","21000","1","2021-12-25 09:12:43","2021-12-25 09:12:43"
"30095","2979","9","279","1","93","21000","1","2022-02-10 09:02:43","2022-02-10 09:02:43"
"30096","2542","6","620","28","310","105","1","2021-10-27 09:10:43","2021-10-27 09:10:43"
"30097","2960","3","460","58","115","420000","1","2021-11-08 09:11:43","2021-11-08 09:11:43"
"30098","2745","6","725","266.5","362.5","105","1","2021-12-17 09:12:43","2021-12-17 09:12:43"
"30099","2704","5","724","6","181","950","1","2022-01-09 09:01:43","2022-01-09 09:01:43"
"30100","2904","5","348","6","87","950","1","2021-12-03 09:12:43","2021-12-03 09:12:43"
"30101","2079","1","0.64","0","0.32","5250000","1","2022-02-01 09:02:43","2022-02-01 09:02:43"
"30102","2076","7","251","13.2","50.2","475","1","2022-01-22 09:01:43","2022-01-22 09:01:43"
"30103","2556","7","688","99.4","137.6","525","1","2021-12-01 09:12:43","2021-12-01 09:12:43"
"30104","2714","6","752","265","376","95","1","2021-09-25 09:09:43","2021-09-25 09:09:43"
"30105","2388","9","333","62","111","21000","1","2021-09-17 09:09:43","2021-09-17 09:09:43"
"30106","2884","2","0.24","0.12","0.06","21000","1","2021-11-16 09:11:43","2021-11-16 09:11:43"
"30107","2739","4","359","116.5","179.5","126000","1","2022-01-31 09:01:43","2022-01-31 09:01:43"
"30108","2301","1","0.37","0.296","0.074","5250000","1","2022-02-09 09:02:43","2022-02-09 09:02:43"
