"id","uid","aid","rate","created_at","updated_at"
"30096","2066","10","0","2022-02-12 07:02:21","2022-02-12 07:02:21"
"30097","2066","176","0.6","2022-02-21 07:02:21","2022-02-21 07:02:21"
"30098","2066","179","1.5","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30099","2066","199","4.1","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30100","2066","49","3.8","2022-01-13 07:01:21","2022-01-13 07:01:21"
"30101","2066","126","0.9","2022-02-05 07:02:21","2022-02-05 07:02:21"
"30102","2066","143","0.3","2022-02-06 07:02:21","2022-02-06 07:02:21"
"30103","2066","158","4","2022-01-28 07:01:21","2022-01-28 07:01:21"
"30104","2066","93","0.4","2022-01-28 07:01:21","2022-01-28 07:01:21"
"30105","2066","66","1","2022-03-03 07:03:21","2022-03-03 07:03:21"
"30106","2066","13","4.6","2022-02-01 07:02:21","2022-02-01 07:02:21"
"30107","2066","170","4.5","2022-02-21 07:02:21","2022-02-21 07:02:21"
"30108","2066","122","4.1","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30109","2066","196","1","2022-02-21 07:02:21","2022-02-21 07:02:21"
"30110","2066","30","1.6","2022-01-27 07:01:21","2022-01-27 07:01:21"
"30111","2066","72","5","2022-01-18 07:01:21","2022-01-18 07:01:21"
"30112","2066","118","0.3","2022-01-13 07:01:21","2022-01-13 07:01:21"
"30113","2066","31","2.5","2022-03-06 07:03:21","2022-03-06 07:03:21"
"30114","2067","187","3.8","2022-02-01 07:02:21","2022-02-01 07:02:21"
"30115","2068","173","4.4","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30116","2068","200","4.8","2022-02-05 07:02:21","2022-02-05 07:02:21"
"30117","2068","168","2.9","2022-01-18 07:01:21","2022-01-18 07:01:21"
"30118","2068","113","3.2","2022-01-26 07:01:21","2022-01-26 07:01:21"
"30119","2068","183","3.2","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30120","2068","125","0.9","2022-03-06 07:03:21","2022-03-06 07:03:21"
"30121","2068","120","2.9","2022-02-02 07:02:21","2022-02-02 07:02:21"
"30122","2068","92","0.4","2022-03-11 07:03:21","2022-03-11 07:03:21"
"30123","2068","119","1.3","2022-03-06 07:03:21","2022-03-06 07:03:21"
"30124","2068","10","4.6","2022-03-03 07:03:21","2022-03-03 07:03:21"
"30125","2068","175","1.9","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30126","2068","133","0.9","2022-01-26 07:01:21","2022-01-26 07:01:21"
"30127","2069","157","1.2","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30128","2069","187","4.1","2022-01-13 07:01:21","2022-01-13 07:01:21"
"30129","2069","131","1.7","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30130","2069","203","4.6","2022-02-17 07:02:21","2022-02-17 07:02:21"
"30131","2069","149","3.1","2022-03-07 07:03:21","2022-03-07 07:03:21"
"30132","2069","198","2.7","2022-01-14 07:01:21","2022-01-14 07:01:21"
"30133","2069","67","4","2022-01-27 07:01:21","2022-01-27 07:01:21"
"30134","2069","144","2.5","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30135","2069","71","4.2","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30136","2069","180","2.9","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30137","2069","127","4.1","2022-03-12 07:03:21","2022-03-12 07:03:21"
"30138","2069","183","0.2","2022-01-22 07:01:21","2022-01-22 07:01:21"
"30139","2069","179","3.4","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30140","2069","59","1.5","2022-02-03 07:02:21","2022-02-03 07:02:21"
"30141","2069","204","4.9","2022-02-05 07:02:21","2022-02-05 07:02:21"
"30142","2069","178","3.6","2022-01-18 07:01:21","2022-01-18 07:01:21"
"30143","2070","104","0.6","2022-01-20 07:01:21","2022-01-20 07:01:21"
"30144","2070","161","4.1","2022-01-17 07:01:21","2022-01-17 07:01:21"
